#ENA	NCBI	original
ENA|JAZBNO010000001|JAZBNO010000001.1	JAZBNO010000001.1	chr1
ENA|JAZBNO010000311|JAZBNO010000311.1	JAZBNO010000311.1	scaffold_311
ENA|JAZBNO010000312|JAZBNO010000312.1	JAZBNO010000312.1	scaffold_312
ENA|JAZBNO010000313|JAZBNO010000313.1	JAZBNO010000313.1	scaffold_313
ENA|JAZBNO010000314|JAZBNO010000314.1	JAZBNO010000314.1	scaffold_314
ENA|JAZBNO010000315|JAZBNO010000315.1	JAZBNO010000315.1	scaffold_315
ENA|JAZBNO010000316|JAZBNO010000316.1	JAZBNO010000316.1	scaffold_316
ENA|JAZBNO010000317|JAZBNO010000317.1	JAZBNO010000317.1	scaffold_317
ENA|JAZBNO010000318|JAZBNO010000318.1	JAZBNO010000318.1	scaffold_318
ENA|JAZBNO010000319|JAZBNO010000319.1	JAZBNO010000319.1	scaffold_319
ENA|JAZBNO010000320|JAZBNO010000320.1	JAZBNO010000320.1	scaffold_320
ENA|JAZBNO010000321|JAZBNO010000321.1	JAZBNO010000321.1	scaffold_321
ENA|JAZBNO010000322|JAZBNO010000322.1	JAZBNO010000322.1	scaffold_322
ENA|JAZBNO010000323|JAZBNO010000323.1	JAZBNO010000323.1	scaffold_323
ENA|JAZBNO010000324|JAZBNO010000324.1	JAZBNO010000324.1	scaffold_324
ENA|JAZBNO010000325|JAZBNO010000325.1	JAZBNO010000325.1	scaffold_325
ENA|JAZBNO010000326|JAZBNO010000326.1	JAZBNO010000326.1	scaffold_326
ENA|JAZBNO010000327|JAZBNO010000327.1	JAZBNO010000327.1	scaffold_327
ENA|JAZBNO010000328|JAZBNO010000328.1	JAZBNO010000328.1	scaffold_328
ENA|JAZBNO010000329|JAZBNO010000329.1	JAZBNO010000329.1	scaffold_329
ENA|JAZBNO010000330|JAZBNO010000330.1	JAZBNO010000330.1	scaffold_330
ENA|JAZBNO010000331|JAZBNO010000331.1	JAZBNO010000331.1	scaffold_331
ENA|JAZBNO010000332|JAZBNO010000332.1	JAZBNO010000332.1	scaffold_332
ENA|JAZBNO010000333|JAZBNO010000333.1	JAZBNO010000333.1	scaffold_333
ENA|JAZBNO010000334|JAZBNO010000334.1	JAZBNO010000334.1	scaffold_334
ENA|JAZBNO010000335|JAZBNO010000335.1	JAZBNO010000335.1	scaffold_335
ENA|JAZBNO010000336|JAZBNO010000336.1	JAZBNO010000336.1	scaffold_336
ENA|JAZBNO010000337|JAZBNO010000337.1	JAZBNO010000337.1	scaffold_337
ENA|JAZBNO010000338|JAZBNO010000338.1	JAZBNO010000338.1	scaffold_338
ENA|JAZBNO010000339|JAZBNO010000339.1	JAZBNO010000339.1	scaffold_339
ENA|JAZBNO010000340|JAZBNO010000340.1	JAZBNO010000340.1	scaffold_340
ENA|JAZBNO010000341|JAZBNO010000341.1	JAZBNO010000341.1	scaffold_341
ENA|JAZBNO010000342|JAZBNO010000342.1	JAZBNO010000342.1	scaffold_342
ENA|JAZBNO010000343|JAZBNO010000343.1	JAZBNO010000343.1	scaffold_343
ENA|JAZBNO010000344|JAZBNO010000344.1	JAZBNO010000344.1	scaffold_344
ENA|JAZBNO010000345|JAZBNO010000345.1	JAZBNO010000345.1	scaffold_345
ENA|JAZBNO010000346|JAZBNO010000346.1	JAZBNO010000346.1	scaffold_346
ENA|JAZBNO010000347|JAZBNO010000347.1	JAZBNO010000347.1	scaffold_347
ENA|JAZBNO010000348|JAZBNO010000348.1	JAZBNO010000348.1	scaffold_348
ENA|JAZBNO010000349|JAZBNO010000349.1	JAZBNO010000349.1	scaffold_349
ENA|JAZBNO010000350|JAZBNO010000350.1	JAZBNO010000350.1	scaffold_350
ENA|JAZBNO010000351|JAZBNO010000351.1	JAZBNO010000351.1	scaffold_351
ENA|JAZBNO010000352|JAZBNO010000352.1	JAZBNO010000352.1	scaffold_352
ENA|JAZBNO010000353|JAZBNO010000353.1	JAZBNO010000353.1	scaffold_353
ENA|JAZBNO010000354|JAZBNO010000354.1	JAZBNO010000354.1	scaffold_354
ENA|JAZBNO010000355|JAZBNO010000355.1	JAZBNO010000355.1	scaffold_355
ENA|JAZBNO010000356|JAZBNO010000356.1	JAZBNO010000356.1	scaffold_356
ENA|JAZBNO010000357|JAZBNO010000357.1	JAZBNO010000357.1	scaffold_357
ENA|JAZBNO010000358|JAZBNO010000358.1	JAZBNO010000358.1	scaffold_358
ENA|JAZBNO010000359|JAZBNO010000359.1	JAZBNO010000359.1	scaffold_359
ENA|JAZBNO010000360|JAZBNO010000360.1	JAZBNO010000360.1	scaffold_360
ENA|JAZBNO010000361|JAZBNO010000361.1	JAZBNO010000361.1	scaffold_361
ENA|JAZBNO010000362|JAZBNO010000362.1	JAZBNO010000362.1	scaffold_362
ENA|JAZBNO010000363|JAZBNO010000363.1	JAZBNO010000363.1	scaffold_363
ENA|JAZBNO010000364|JAZBNO010000364.1	JAZBNO010000364.1	scaffold_364
ENA|JAZBNO010000365|JAZBNO010000365.1	JAZBNO010000365.1	scaffold_365
ENA|JAZBNO010000366|JAZBNO010000366.1	JAZBNO010000366.1	scaffold_366
ENA|JAZBNO010000367|JAZBNO010000367.1	JAZBNO010000367.1	scaffold_367
ENA|JAZBNO010000368|JAZBNO010000368.1	JAZBNO010000368.1	scaffold_368
ENA|JAZBNO010000369|JAZBNO010000369.1	JAZBNO010000369.1	scaffold_369
ENA|JAZBNO010000370|JAZBNO010000370.1	JAZBNO010000370.1	scaffold_370
ENA|JAZBNO010000371|JAZBNO010000371.1	JAZBNO010000371.1	scaffold_371
ENA|JAZBNO010000372|JAZBNO010000372.1	JAZBNO010000372.1	scaffold_372
ENA|JAZBNO010000373|JAZBNO010000373.1	JAZBNO010000373.1	scaffold_373
ENA|JAZBNO010000374|JAZBNO010000374.1	JAZBNO010000374.1	scaffold_374
ENA|JAZBNO010000375|JAZBNO010000375.1	JAZBNO010000375.1	scaffold_375
ENA|JAZBNO010000376|JAZBNO010000376.1	JAZBNO010000376.1	scaffold_376
ENA|JAZBNO010000377|JAZBNO010000377.1	JAZBNO010000377.1	scaffold_377
ENA|JAZBNO010000378|JAZBNO010000378.1	JAZBNO010000378.1	scaffold_378
ENA|JAZBNO010000379|JAZBNO010000379.1	JAZBNO010000379.1	scaffold_379
ENA|JAZBNO010000380|JAZBNO010000380.1	JAZBNO010000380.1	scaffold_380
ENA|JAZBNO010000381|JAZBNO010000381.1	JAZBNO010000381.1	scaffold_381
ENA|JAZBNO010000382|JAZBNO010000382.1	JAZBNO010000382.1	scaffold_382
ENA|JAZBNO010000383|JAZBNO010000383.1	JAZBNO010000383.1	scaffold_383
ENA|JAZBNO010000384|JAZBNO010000384.1	JAZBNO010000384.1	scaffold_384
ENA|JAZBNO010000385|JAZBNO010000385.1	JAZBNO010000385.1	scaffold_385
ENA|JAZBNO010000386|JAZBNO010000386.1	JAZBNO010000386.1	scaffold_386
ENA|JAZBNO010000387|JAZBNO010000387.1	JAZBNO010000387.1	scaffold_387
ENA|JAZBNO010000388|JAZBNO010000388.1	JAZBNO010000388.1	scaffold_388
ENA|JAZBNO010000389|JAZBNO010000389.1	JAZBNO010000389.1	scaffold_389
ENA|JAZBNO010000390|JAZBNO010000390.1	JAZBNO010000390.1	scaffold_390
ENA|JAZBNO010000391|JAZBNO010000391.1	JAZBNO010000391.1	scaffold_391
ENA|JAZBNO010000392|JAZBNO010000392.1	JAZBNO010000392.1	scaffold_392
ENA|JAZBNO010000393|JAZBNO010000393.1	JAZBNO010000393.1	scaffold_393
ENA|JAZBNO010000394|JAZBNO010000394.1	JAZBNO010000394.1	scaffold_394
ENA|JAZBNO010000395|JAZBNO010000395.1	JAZBNO010000395.1	scaffold_395
ENA|JAZBNO010000396|JAZBNO010000396.1	JAZBNO010000396.1	scaffold_396
ENA|JAZBNO010000397|JAZBNO010000397.1	JAZBNO010000397.1	scaffold_397
ENA|JAZBNO010000398|JAZBNO010000398.1	JAZBNO010000398.1	scaffold_398
ENA|JAZBNO010000399|JAZBNO010000399.1	JAZBNO010000399.1	scaffold_399
ENA|JAZBNO010000400|JAZBNO010000400.1	JAZBNO010000400.1	scaffold_400
ENA|JAZBNO010000401|JAZBNO010000401.1	JAZBNO010000401.1	scaffold_401
ENA|JAZBNO010000402|JAZBNO010000402.1	JAZBNO010000402.1	scaffold_402
ENA|JAZBNO010000403|JAZBNO010000403.1	JAZBNO010000403.1	scaffold_403
ENA|JAZBNO010000404|JAZBNO010000404.1	JAZBNO010000404.1	scaffold_404
ENA|JAZBNO010000405|JAZBNO010000405.1	JAZBNO010000405.1	scaffold_405
ENA|JAZBNO010000406|JAZBNO010000406.1	JAZBNO010000406.1	scaffold_406
ENA|JAZBNO010000407|JAZBNO010000407.1	JAZBNO010000407.1	scaffold_407
ENA|JAZBNO010000408|JAZBNO010000408.1	JAZBNO010000408.1	scaffold_408
ENA|JAZBNO010000409|JAZBNO010000409.1	JAZBNO010000409.1	scaffold_409
ENA|JAZBNO010000410|JAZBNO010000410.1	JAZBNO010000410.1	scaffold_410
ENA|JAZBNO010000411|JAZBNO010000411.1	JAZBNO010000411.1	scaffold_411
ENA|JAZBNO010000412|JAZBNO010000412.1	JAZBNO010000412.1	scaffold_412
ENA|JAZBNO010000413|JAZBNO010000413.1	JAZBNO010000413.1	scaffold_413
ENA|JAZBNO010000414|JAZBNO010000414.1	JAZBNO010000414.1	scaffold_414
ENA|JAZBNO010000415|JAZBNO010000415.1	JAZBNO010000415.1	scaffold_415
ENA|JAZBNO010000416|JAZBNO010000416.1	JAZBNO010000416.1	scaffold_416
ENA|JAZBNO010000417|JAZBNO010000417.1	JAZBNO010000417.1	scaffold_417
ENA|JAZBNO010000418|JAZBNO010000418.1	JAZBNO010000418.1	scaffold_418
ENA|JAZBNO010000419|JAZBNO010000419.1	JAZBNO010000419.1	scaffold_419
ENA|JAZBNO010000420|JAZBNO010000420.1	JAZBNO010000420.1	scaffold_420
ENA|JAZBNO010000421|JAZBNO010000421.1	JAZBNO010000421.1	scaffold_421
ENA|JAZBNO010000422|JAZBNO010000422.1	JAZBNO010000422.1	scaffold_422
ENA|JAZBNO010000423|JAZBNO010000423.1	JAZBNO010000423.1	scaffold_423
ENA|JAZBNO010000424|JAZBNO010000424.1	JAZBNO010000424.1	scaffold_424
ENA|JAZBNO010000425|JAZBNO010000425.1	JAZBNO010000425.1	scaffold_425
ENA|JAZBNO010000426|JAZBNO010000426.1	JAZBNO010000426.1	scaffold_426
ENA|JAZBNO010000427|JAZBNO010000427.1	JAZBNO010000427.1	scaffold_427
ENA|JAZBNO010000428|JAZBNO010000428.1	JAZBNO010000428.1	scaffold_428
ENA|JAZBNO010000429|JAZBNO010000429.1	JAZBNO010000429.1	scaffold_429
ENA|JAZBNO010000430|JAZBNO010000430.1	JAZBNO010000430.1	scaffold_430
ENA|JAZBNO010000431|JAZBNO010000431.1	JAZBNO010000431.1	scaffold_431
ENA|JAZBNO010000432|JAZBNO010000432.1	JAZBNO010000432.1	scaffold_432
ENA|JAZBNO010000433|JAZBNO010000433.1	JAZBNO010000433.1	scaffold_433
ENA|JAZBNO010000434|JAZBNO010000434.1	JAZBNO010000434.1	scaffold_434
ENA|JAZBNO010000435|JAZBNO010000435.1	JAZBNO010000435.1	scaffold_435
ENA|JAZBNO010000436|JAZBNO010000436.1	JAZBNO010000436.1	scaffold_436
ENA|JAZBNO010000437|JAZBNO010000437.1	JAZBNO010000437.1	scaffold_437
ENA|JAZBNO010000438|JAZBNO010000438.1	JAZBNO010000438.1	scaffold_438
ENA|JAZBNO010000439|JAZBNO010000439.1	JAZBNO010000439.1	scaffold_439
ENA|JAZBNO010000440|JAZBNO010000440.1	JAZBNO010000440.1	scaffold_440
ENA|JAZBNO010000441|JAZBNO010000441.1	JAZBNO010000441.1	scaffold_441
ENA|JAZBNO010000442|JAZBNO010000442.1	JAZBNO010000442.1	scaffold_442
ENA|JAZBNO010000443|JAZBNO010000443.1	JAZBNO010000443.1	scaffold_443
ENA|JAZBNO010000444|JAZBNO010000444.1	JAZBNO010000444.1	scaffold_444
ENA|JAZBNO010000445|JAZBNO010000445.1	JAZBNO010000445.1	scaffold_445
ENA|JAZBNO010000446|JAZBNO010000446.1	JAZBNO010000446.1	scaffold_446
ENA|JAZBNO010000447|JAZBNO010000447.1	JAZBNO010000447.1	scaffold_447
ENA|JAZBNO010000448|JAZBNO010000448.1	JAZBNO010000448.1	scaffold_448
ENA|JAZBNO010000449|JAZBNO010000449.1	JAZBNO010000449.1	scaffold_449
ENA|JAZBNO010000450|JAZBNO010000450.1	JAZBNO010000450.1	scaffold_450
ENA|JAZBNO010000451|JAZBNO010000451.1	JAZBNO010000451.1	scaffold_451
ENA|JAZBNO010000452|JAZBNO010000452.1	JAZBNO010000452.1	scaffold_452
ENA|JAZBNO010000453|JAZBNO010000453.1	JAZBNO010000453.1	scaffold_453
ENA|JAZBNO010000454|JAZBNO010000454.1	JAZBNO010000454.1	scaffold_454
ENA|JAZBNO010000455|JAZBNO010000455.1	JAZBNO010000455.1	scaffold_455
ENA|JAZBNO010000456|JAZBNO010000456.1	JAZBNO010000456.1	scaffold_456
ENA|JAZBNO010000457|JAZBNO010000457.1	JAZBNO010000457.1	scaffold_457
ENA|JAZBNO010000458|JAZBNO010000458.1	JAZBNO010000458.1	scaffold_458
ENA|JAZBNO010000459|JAZBNO010000459.1	JAZBNO010000459.1	scaffold_459
ENA|JAZBNO010000460|JAZBNO010000460.1	JAZBNO010000460.1	scaffold_460
ENA|JAZBNO010000461|JAZBNO010000461.1	JAZBNO010000461.1	scaffold_461
ENA|JAZBNO010000462|JAZBNO010000462.1	JAZBNO010000462.1	scaffold_462
ENA|JAZBNO010000463|JAZBNO010000463.1	JAZBNO010000463.1	scaffold_463
ENA|JAZBNO010000464|JAZBNO010000464.1	JAZBNO010000464.1	scaffold_464
ENA|JAZBNO010000465|JAZBNO010000465.1	JAZBNO010000465.1	scaffold_465
ENA|JAZBNO010000466|JAZBNO010000466.1	JAZBNO010000466.1	scaffold_466
ENA|JAZBNO010000467|JAZBNO010000467.1	JAZBNO010000467.1	scaffold_467
ENA|JAZBNO010000468|JAZBNO010000468.1	JAZBNO010000468.1	scaffold_468
ENA|JAZBNO010000469|JAZBNO010000469.1	JAZBNO010000469.1	scaffold_469
ENA|JAZBNO010000470|JAZBNO010000470.1	JAZBNO010000470.1	scaffold_470
ENA|JAZBNO010000471|JAZBNO010000471.1	JAZBNO010000471.1	scaffold_471
ENA|JAZBNO010000472|JAZBNO010000472.1	JAZBNO010000472.1	scaffold_472
ENA|JAZBNO010000473|JAZBNO010000473.1	JAZBNO010000473.1	scaffold_473
ENA|JAZBNO010000474|JAZBNO010000474.1	JAZBNO010000474.1	scaffold_474
ENA|JAZBNO010000475|JAZBNO010000475.1	JAZBNO010000475.1	scaffold_475
ENA|JAZBNO010000476|JAZBNO010000476.1	JAZBNO010000476.1	scaffold_476
ENA|JAZBNO010000477|JAZBNO010000477.1	JAZBNO010000477.1	scaffold_477
ENA|JAZBNO010000478|JAZBNO010000478.1	JAZBNO010000478.1	scaffold_478
ENA|JAZBNO010000479|JAZBNO010000479.1	JAZBNO010000479.1	scaffold_479
ENA|JAZBNO010000480|JAZBNO010000480.1	JAZBNO010000480.1	scaffold_480
ENA|JAZBNO010000481|JAZBNO010000481.1	JAZBNO010000481.1	scaffold_481
ENA|JAZBNO010000482|JAZBNO010000482.1	JAZBNO010000482.1	scaffold_482
ENA|JAZBNO010000483|JAZBNO010000483.1	JAZBNO010000483.1	scaffold_483
ENA|JAZBNO010000484|JAZBNO010000484.1	JAZBNO010000484.1	scaffold_484
ENA|JAZBNO010000485|JAZBNO010000485.1	JAZBNO010000485.1	scaffold_485
ENA|JAZBNO010000486|JAZBNO010000486.1	JAZBNO010000486.1	scaffold_486
ENA|JAZBNO010000487|JAZBNO010000487.1	JAZBNO010000487.1	scaffold_487
ENA|JAZBNO010000488|JAZBNO010000488.1	JAZBNO010000488.1	scaffold_488
ENA|JAZBNO010000489|JAZBNO010000489.1	JAZBNO010000489.1	scaffold_489
ENA|JAZBNO010000490|JAZBNO010000490.1	JAZBNO010000490.1	scaffold_490
ENA|JAZBNO010000491|JAZBNO010000491.1	JAZBNO010000491.1	scaffold_491
ENA|JAZBNO010000492|JAZBNO010000492.1	JAZBNO010000492.1	scaffold_492
ENA|JAZBNO010000493|JAZBNO010000493.1	JAZBNO010000493.1	scaffold_493
ENA|JAZBNO010000494|JAZBNO010000494.1	JAZBNO010000494.1	scaffold_494
ENA|JAZBNO010000495|JAZBNO010000495.1	JAZBNO010000495.1	scaffold_495
ENA|JAZBNO010000496|JAZBNO010000496.1	JAZBNO010000496.1	scaffold_496
ENA|JAZBNO010000497|JAZBNO010000497.1	JAZBNO010000497.1	scaffold_497
ENA|JAZBNO010000498|JAZBNO010000498.1	JAZBNO010000498.1	scaffold_498
ENA|JAZBNO010000499|JAZBNO010000499.1	JAZBNO010000499.1	scaffold_499
ENA|JAZBNO010000500|JAZBNO010000500.1	JAZBNO010000500.1	scaffold_500
ENA|JAZBNO010000501|JAZBNO010000501.1	JAZBNO010000501.1	scaffold_501
ENA|JAZBNO010000502|JAZBNO010000502.1	JAZBNO010000502.1	scaffold_502
ENA|JAZBNO010000503|JAZBNO010000503.1	JAZBNO010000503.1	scaffold_503
ENA|JAZBNO010000504|JAZBNO010000504.1	JAZBNO010000504.1	scaffold_504
ENA|JAZBNO010000505|JAZBNO010000505.1	JAZBNO010000505.1	scaffold_505
ENA|JAZBNO010000506|JAZBNO010000506.1	JAZBNO010000506.1	scaffold_506
ENA|JAZBNO010000507|JAZBNO010000507.1	JAZBNO010000507.1	scaffold_507
ENA|JAZBNO010000508|JAZBNO010000508.1	JAZBNO010000508.1	scaffold_508
ENA|JAZBNO010000509|JAZBNO010000509.1	JAZBNO010000509.1	scaffold_509
ENA|JAZBNO010000510|JAZBNO010000510.1	JAZBNO010000510.1	scaffold_510
ENA|JAZBNO010000511|JAZBNO010000511.1	JAZBNO010000511.1	scaffold_511
ENA|JAZBNO010000512|JAZBNO010000512.1	JAZBNO010000512.1	scaffold_512
ENA|JAZBNO010000513|JAZBNO010000513.1	JAZBNO010000513.1	scaffold_513
ENA|JAZBNO010000514|JAZBNO010000514.1	JAZBNO010000514.1	scaffold_514
ENA|JAZBNO010000515|JAZBNO010000515.1	JAZBNO010000515.1	scaffold_515
ENA|JAZBNO010000516|JAZBNO010000516.1	JAZBNO010000516.1	scaffold_516
ENA|JAZBNO010000517|JAZBNO010000517.1	JAZBNO010000517.1	scaffold_517
ENA|JAZBNO010000518|JAZBNO010000518.1	JAZBNO010000518.1	scaffold_518
ENA|JAZBNO010000519|JAZBNO010000519.1	JAZBNO010000519.1	scaffold_519
ENA|JAZBNO010000520|JAZBNO010000520.1	JAZBNO010000520.1	scaffold_520
ENA|JAZBNO010000521|JAZBNO010000521.1	JAZBNO010000521.1	scaffold_521
ENA|JAZBNO010000522|JAZBNO010000522.1	JAZBNO010000522.1	scaffold_522
ENA|JAZBNO010000523|JAZBNO010000523.1	JAZBNO010000523.1	scaffold_523
ENA|JAZBNO010000524|JAZBNO010000524.1	JAZBNO010000524.1	scaffold_524
ENA|JAZBNO010000525|JAZBNO010000525.1	JAZBNO010000525.1	scaffold_525
ENA|JAZBNO010000526|JAZBNO010000526.1	JAZBNO010000526.1	scaffold_526
ENA|JAZBNO010000527|JAZBNO010000527.1	JAZBNO010000527.1	scaffold_527
ENA|JAZBNO010000528|JAZBNO010000528.1	JAZBNO010000528.1	scaffold_528
ENA|JAZBNO010000529|JAZBNO010000529.1	JAZBNO010000529.1	scaffold_529
ENA|JAZBNO010000530|JAZBNO010000530.1	JAZBNO010000530.1	scaffold_530
ENA|JAZBNO010000531|JAZBNO010000531.1	JAZBNO010000531.1	scaffold_531
ENA|JAZBNO010000532|JAZBNO010000532.1	JAZBNO010000532.1	scaffold_532
ENA|JAZBNO010000533|JAZBNO010000533.1	JAZBNO010000533.1	scaffold_533
ENA|JAZBNO010000534|JAZBNO010000534.1	JAZBNO010000534.1	scaffold_534
ENA|JAZBNO010000535|JAZBNO010000535.1	JAZBNO010000535.1	scaffold_535
ENA|JAZBNO010000536|JAZBNO010000536.1	JAZBNO010000536.1	scaffold_536
ENA|JAZBNO010000537|JAZBNO010000537.1	JAZBNO010000537.1	scaffold_537
ENA|JAZBNO010000538|JAZBNO010000538.1	JAZBNO010000538.1	scaffold_538
ENA|JAZBNO010000539|JAZBNO010000539.1	JAZBNO010000539.1	scaffold_539
ENA|JAZBNO010000540|JAZBNO010000540.1	JAZBNO010000540.1	scaffold_540
ENA|JAZBNO010000541|JAZBNO010000541.1	JAZBNO010000541.1	scaffold_541
ENA|JAZBNO010000542|JAZBNO010000542.1	JAZBNO010000542.1	scaffold_542
ENA|JAZBNO010000543|JAZBNO010000543.1	JAZBNO010000543.1	scaffold_543
ENA|JAZBNO010000544|JAZBNO010000544.1	JAZBNO010000544.1	scaffold_544
ENA|JAZBNO010000545|JAZBNO010000545.1	JAZBNO010000545.1	scaffold_545
ENA|JAZBNO010000546|JAZBNO010000546.1	JAZBNO010000546.1	scaffold_546
ENA|JAZBNO010000547|JAZBNO010000547.1	JAZBNO010000547.1	scaffold_547
ENA|JAZBNO010000548|JAZBNO010000548.1	JAZBNO010000548.1	scaffold_548
ENA|JAZBNO010000549|JAZBNO010000549.1	JAZBNO010000549.1	scaffold_549
ENA|JAZBNO010000550|JAZBNO010000550.1	JAZBNO010000550.1	scaffold_550
ENA|JAZBNO010000551|JAZBNO010000551.1	JAZBNO010000551.1	scaffold_551
ENA|JAZBNO010000552|JAZBNO010000552.1	JAZBNO010000552.1	scaffold_552
ENA|JAZBNO010000553|JAZBNO010000553.1	JAZBNO010000553.1	scaffold_553
ENA|JAZBNO010000554|JAZBNO010000554.1	JAZBNO010000554.1	scaffold_554
ENA|JAZBNO010000555|JAZBNO010000555.1	JAZBNO010000555.1	scaffold_555
ENA|JAZBNO010000556|JAZBNO010000556.1	JAZBNO010000556.1	scaffold_556
ENA|JAZBNO010000557|JAZBNO010000557.1	JAZBNO010000557.1	scaffold_557
ENA|JAZBNO010000558|JAZBNO010000558.1	JAZBNO010000558.1	scaffold_558
ENA|JAZBNO010000559|JAZBNO010000559.1	JAZBNO010000559.1	scaffold_559
ENA|JAZBNO010000560|JAZBNO010000560.1	JAZBNO010000560.1	scaffold_560
ENA|JAZBNO010000561|JAZBNO010000561.1	JAZBNO010000561.1	scaffold_561
ENA|JAZBNO010000562|JAZBNO010000562.1	JAZBNO010000562.1	scaffold_562
ENA|JAZBNO010000563|JAZBNO010000563.1	JAZBNO010000563.1	scaffold_563
ENA|JAZBNO010000564|JAZBNO010000564.1	JAZBNO010000564.1	scaffold_564
ENA|JAZBNO010000565|JAZBNO010000565.1	JAZBNO010000565.1	scaffold_565
ENA|JAZBNO010000566|JAZBNO010000566.1	JAZBNO010000566.1	scaffold_566
ENA|JAZBNO010000567|JAZBNO010000567.1	JAZBNO010000567.1	scaffold_567
ENA|JAZBNO010000568|JAZBNO010000568.1	JAZBNO010000568.1	scaffold_568
ENA|JAZBNO010000569|JAZBNO010000569.1	JAZBNO010000569.1	scaffold_569
ENA|JAZBNO010000570|JAZBNO010000570.1	JAZBNO010000570.1	scaffold_570
ENA|JAZBNO010000571|JAZBNO010000571.1	JAZBNO010000571.1	scaffold_571
ENA|JAZBNO010000572|JAZBNO010000572.1	JAZBNO010000572.1	scaffold_572
ENA|JAZBNO010000573|JAZBNO010000573.1	JAZBNO010000573.1	scaffold_573
ENA|JAZBNO010000574|JAZBNO010000574.1	JAZBNO010000574.1	scaffold_574
ENA|JAZBNO010000575|JAZBNO010000575.1	JAZBNO010000575.1	scaffold_575
ENA|JAZBNO010000576|JAZBNO010000576.1	JAZBNO010000576.1	scaffold_576
ENA|JAZBNO010000577|JAZBNO010000577.1	JAZBNO010000577.1	scaffold_577
ENA|JAZBNO010000578|JAZBNO010000578.1	JAZBNO010000578.1	scaffold_578
ENA|JAZBNO010000579|JAZBNO010000579.1	JAZBNO010000579.1	scaffold_579
ENA|JAZBNO010000580|JAZBNO010000580.1	JAZBNO010000580.1	scaffold_580
ENA|JAZBNO010000581|JAZBNO010000581.1	JAZBNO010000581.1	scaffold_581
ENA|JAZBNO010000582|JAZBNO010000582.1	JAZBNO010000582.1	scaffold_582
ENA|JAZBNO010000583|JAZBNO010000583.1	JAZBNO010000583.1	scaffold_583
ENA|JAZBNO010000584|JAZBNO010000584.1	JAZBNO010000584.1	scaffold_584
ENA|JAZBNO010000585|JAZBNO010000585.1	JAZBNO010000585.1	scaffold_585
ENA|JAZBNO010000586|JAZBNO010000586.1	JAZBNO010000586.1	scaffold_586
ENA|JAZBNO010000587|JAZBNO010000587.1	JAZBNO010000587.1	scaffold_587
ENA|JAZBNO010000588|JAZBNO010000588.1	JAZBNO010000588.1	scaffold_588
ENA|JAZBNO010000589|JAZBNO010000589.1	JAZBNO010000589.1	scaffold_589
ENA|JAZBNO010000590|JAZBNO010000590.1	JAZBNO010000590.1	scaffold_590
ENA|JAZBNO010000591|JAZBNO010000591.1	JAZBNO010000591.1	scaffold_591
ENA|JAZBNO010000592|JAZBNO010000592.1	JAZBNO010000592.1	scaffold_592
ENA|JAZBNO010000593|JAZBNO010000593.1	JAZBNO010000593.1	scaffold_593
ENA|JAZBNO010000594|JAZBNO010000594.1	JAZBNO010000594.1	scaffold_594
ENA|JAZBNO010000595|JAZBNO010000595.1	JAZBNO010000595.1	scaffold_595
ENA|JAZBNO010000596|JAZBNO010000596.1	JAZBNO010000596.1	scaffold_596
ENA|JAZBNO010000597|JAZBNO010000597.1	JAZBNO010000597.1	scaffold_597
